-32.26190567 140.96209717 0.00000000
-32.24714661 140.93597412 0.00000000
-32.23924637 140.90702820 0.00000000
-32.23134232 140.87809753 0.00000000
-32.22015381 140.85026550 0.00000000
-32.20896530 140.82243347 0.00000000
-32.19777679 140.79458618 0.00000000
-32.18291473 140.76852417 0.00000000
-32.13161850 140.66149902 0.00000000
-32.11742401 140.63507080 0.00000000
-32.10349655 140.60850525 0.00000000
-32.08956909 140.58192444 0.00000000
-32.07694626 140.55470276 0.00000000
-32.06247330 140.52842712 0.00000000
-32.04950714 140.50137329 0.00000000
-32.03577805 140.47470093 0.00000000
-32.02205276 140.44802856 0.00000000
-32.00764084 140.42172241 0.00000000
-31.99378586 140.39511108 0.00000000
-31.98099518 140.36798096 0.00000000
-31.96544838 140.34233093 0.00000000
-31.95249748 140.31527710 0.00000000
-31.94056129 140.28775024 0.00000000
-31.92430305 140.26254272 0.00000000
-31.91198921 140.23518372 0.00000000
-31.89442253 140.21086121 0.00000000
-31.88250351 140.18333435 0.00000000
-31.86883163 140.15663147 0.00000000
-31.85516167 140.12992859 0.00000000
-31.84148979 140.10322571 0.00000000
-31.82576180 140.07768250 0.00000000
-31.80968666 140.05235291 0.00000000
-31.79361343 140.02702332 0.00000000
-31.77511406 140.00340271 0.00000000
-31.75973511 139.97764587 0.00000000
-31.74069023 139.95446777 0.00000000
-31.72496223 139.92892456 0.00000000
-31.70589638 139.90576172 0.00000000
-31.68918037 139.88084412 0.00000000
-31.66915894 139.85850525 0.00000000
-31.65276909 139.83337402 0.00000000
-31.63144493 139.81227112 0.00000000
-31.61070824 139.79058838 0.00000000
-31.59112167 139.76786804 0.00000000
-31.57232857 139.74449158 0.00000000
-31.55185509 139.72256470 0.00000000
-31.53259468 139.69956970 0.00000000
-31.51147079 139.67826843 0.00000000
-31.49095535 139.65638733 0.00000000
-31.46884537 139.63610840 0.00000000
-31.44658661 139.61599731 0.00000000
-31.42465401 139.59553528 0.00000000
-31.40206528 139.57579041 0.00000000
-31.38011932 139.55532837 0.00000000
-31.35717964 139.53599548 0.00000000
-31.33376503 139.51724243 0.00000000
-31.31130028 139.49736023 0.00000000
-31.28664398 139.48027039 0.00000000
-31.26222229 139.46284485 0.00000000
